sexo;idade;uf;situacao_funcional;pmt_valor;margem_saldo;conceder
MASCULINO;35;DF;ATIVO PERMANENTE;1846.99;13271.75;0
MASCULINO;35;MG;ATIVO PERMANENTE;2735.11;6199.44;0
FEMININO;39;RS;ATIVO PERMANENTE;1559.27;3155.35;0
FEMININO;83;PR;APOSENTADO;745.98;7461.18;0
FEMININO;80;PR;APOSENTADO;83.23;3383.02;0
FEMININO;78;PB;BENEFICIARIO PENSAO;6952.86;12625.20;0
MASCULINO;55;SP;ATIVO PERMANENTE;76.68;2300.64;0
FEMININO;27;RS;ATIVO PERMANENTE;108.68;3260.90;0
MASCULINO;82;PE;APOSENTADO;9238.01;30257.38;0
MASCULINO;82;PR;APOSENTADO;592.56;22216.82;0
FEMININO;36;DF;BENEFICIARIO PENSAO;1161.54;3600.45;0
FEMININO;53;RJ;ATIVO PERMANENTE;923.00;1455.38;0
FEMININO;59;RJ;ATIVO PERMANENTE;248.66;2847.68;0
MASCULINO;54;RJ;ATIVO PERMANENTE;363.42;8685.87;0
FEMININO;83;MG;APOSENTADO;1829.94;13621.86;0
FEMININO;71;SC;APOSENTADO;884.23;1942.65;0
MASCULINO;38;RS;CELETISTA EMPREGADO;2826.11;13516.88;0
MASCULINO;84;DF;APOSENTADO;2588.13;8507.73;0
FEMININO;36;DF;ATIVO PERMANENTE;1694.82;45438.22;0
MASCULINO;46;PB;ATIVO PERMANENTE;2166.23;28509.03;0
MASCULINO;40;SC;ATIVO PERMANENTE;43.22;1296.63;0
FEMININO;76;PA;APOSENTADO;548.88;18392.64;0
MASCULINO;43;MG;ATIVO PERMANENTE;6752.37;9601.65;0
MASCULINO;51;RJ;CELETISTA EMPREGADO;8436.97;71488.30;0
FEMININO;42;RS;CELETISTA EMPREGADO;31.54;1415.71;0
MASCULINO;53;SC;ATIVO PERMANENTE;59.88;1796.50;0
MASCULINO;37;DF;BENEFICIARIO PENSAO;136.00;2269.22;0
FEMININO;38;DF;ATIVO PERMANENTE;1405.08;5252.22;0
FEMININO;44;MA;BENEFICIARIO PENSAO;171.49;710.97;0
FEMININO;36;DF;ATIVO PERMANENTE;957.56;2075.70;0
FEMININO;38;GO;ATIVO PERMANENTE;4541.57;10869.60;0
FEMININO;67;RJ;ATIVO PERMANENTE;772.23;8208.49;0
FEMININO;66;MS;BENEFICIARIO PENSAO;248.66;5672.02;0
FEMININO;78;PA;APOSENTADO;657.27;3962.82;0
FEMININO;83;BA;APOSENTADO;52.18;2874.59;0
FEMININO;37;PI;ATIVO PERMANENTE;142.08;4967.18;0
FEMININO;82;PR;APOSENTADO;604.72;4414.65;0
FEMININO;37;MA;CELETISTA EMPREGADO;876.05;2013.30;0
FEMININO;41;RS;ATIVO PERMANENTE;136.26;3725.37;0
FEMININO;39;RS;CELETISTA EMPREGADO;1523.41;3202.86;0
MASCULINO;41;SC;ATIVO PERMANENTE;205.30;6159.00;0
MASCULINO;56;RJ;ATIVO PERMANENTE;1362.02;5333.75;0
MASCULINO;82;CE;APOSENTADO;4377.36;11015.68;0
FEMININO;38;RS;CELETISTA EMPREGADO;4359.01;5890.16;0
FEMININO;84;MA;APOSENTADO;4929.92;16030.30;0
MASCULINO;52;MS;CEDIDO SUS LEI 8270;13.70;3435.38;0
FEMININO;36;DF;NAO INFORMADO;328.67;2597.09;0
MASCULINO;81;MG;APOSENTADO;596.32;24285.20;0
MASCULINO;52;RJ;ATIVO PERMANENTE;10947.38;19375.77;0
FEMININO;82;PE;APOSENTADO;345.10;8057.00;0
FEMININO;45;SC;ATIVO PERMANENTE;231.56;6947.38;0
FEMININO;46;SC;ATIVO PERMANENTE;121.90;3657.50;0
MASCULINO;37;DF;ATIVO PERMANENTE;355.47;1451.53;0
FEMININO;37;RS;ATIVO PERMANENTE;386.46;1564.40;0
FEMININO;41;GO;ATIVO PERMANENTE;4184.51;32809.86;0
FEMININO;72;MG;BENEFICIARIO PENSAO;46.00;8044.04;0
MASCULINO;83;AM;APOSENTADO;113.49;5179.08;0
MASCULINO;45;MG;ATIVO PERMANENTE;1931.34;11760.21;0
MASCULINO;38;DF;ATIVO PERMANENTE;490.54;2467.25;0
FEMININO;81;RJ;BENEFICIARIO PENSAO;51.66;1163.16;0
MASCULINO;44;PB;ATIVO PERMANENTE;2995.35;15821.33;0
FEMININO;37;MS;ATIVO PERMANENTE;156.06;4939.58;0
FEMININO;46;SC;ATIVO PERMANENTE;59.36;893.34;0
MASCULINO;37;TO;ATIVO PERMANENTE;4196.07;12446.04;0
FEMININO;77;SC;BENEFICIARIO PENSAO;79.40;2382.40;0
FEMININO;56;RJ;ATIVO PERMANENTE;5792.65;19674.62;0
MASCULINO;38;GO;ATIVO PERMANENTE;467.60;7363.26;0
MASCULINO;73;DF;APOSENTADO;3591.71;27567.33;0
MASCULINO;63;MG;APOSENTADO;1348.04;3118.76;0
MASCULINO;84;PR;APOSENTADO;125.62;3994.42;0
MASCULINO;50;ES;CELETISTA EMPREGADO;971.58;1868.69;0
FEMININO;40;SC;ATIVO PERMANENTE;1793.52;18361.14;0
MASCULINO;66;SP;APOSENTADO;97.14;2914.38;0
MASCULINO;49;RJ;ATIVO PERMANENTE;11065.85;20722.85;0
MASCULINO;37;MG;ATIVO PERMANENTE;1320.83;25592.26;0
FEMININO;83;CE;APOSENTADO;61.60;3678.62;0
FEMININO;38;DF;ATIVO PERMANENTE;30.00;4601.10;0
MASCULINO;48;MS;ATIVO PERMANENTE;281.76;5071.98;0
MASCULINO;83;CE;APOSENTADO;158.45;16223.71;0
MASCULINO;81;SP;APOSENTADO;31.89;6984.19;0
MASCULINO;53;DF;ATIVO PERMANENTE;7013.78;13916.44;0
MASCULINO;84;DF;BENEFICIARIO PENSAO;497.32;3665.52;0
FEMININO;39;MA;ATIVO PERMANENTE;2194.70;7165.84;0
FEMININO;82;MG;APOSENTADO;130.56;7703.10;0
FEMININO;80;SP;APOSENTADO;337.94;2219.98;0
FEMININO;41;RS;BENEFICIARIO PENSAO;205.93;1220.67;0
MASCULINO;39;RS;ATIVO PERMANENTE;2715.92;4462.00;0
FEMININO;51;RJ;ATIVO PERMANENTE;1159.16;3753.36;0
MASCULINO;50;DF;NAO INFORMADO;848.98;53030.95;0
FEMININO;43;SC;ATIVO PERMANENTE;374.97;11142.75;0
FEMININO;31;PA;ATIVO PERMANENTE;156.20;4556.62;0
MASCULINO;54;RJ;CEDIDO SUS LEI 8270;2120.22;5712.81;0
MASCULINO;43;RS;CELETISTA EMPREGADO;601.37;5176.90;0
FEMININO;38;GO;ATIVO PERMANENTE;3523.95;4905.96;0
MASCULINO;48;MG;ATIVO PERMANENTE;6984.20;13249.02;0
MASCULINO;42;PR;ATIVO PERMANENTE;615.90;18477.00;0
MASCULINO;57;RJ;ATIVO PERMANENTE;3861.70;10661.40;0
MASCULINO;37;MA;ATIVO PERMANENTE;1433.24;7647.89;0
FEMININO;56;RJ;BENEFICIARIO PENSAO;6539.66;32266.08;0
MASCULINO;40;BA;ATIVO PERMANENTE;179.45;5383.74;0
MASCULINO;38;RS;ATIVO PERMANENTE;2336.53;4431.97;0
MASCULINO;40;RS;ATIVO PERMANENTE;4188.27;20154.69;0
MASCULINO;44;MG;ATIVO PERMANENTE;2085.57;31524.12;0
FEMININO;37;DF;ATIVO PERMANENTE;6158.43;12885.55;0
FEMININO;52;RJ;APOSENTADO;21.39;337.64;0
MASCULINO;37;CE;ATIVO PERMANENTE;374.52;10667.19;0
FEMININO;36;CE;ATIVO PERMANENTE;63.96;2888.52;0
FEMININO;47;MG;ATIVO PERMANENTE;1500.00;10161.45;0
FEMININO;36;DF;ATIVO PERMANENTE;192.85;11178.28;0
FEMININO;67;RJ;BENEFICIARIO PENSAO;667.32;5314.72;0
FEMININO;36;DF;ATIVO PERMANENTE;198.63;1050.62;0
MASCULINO;36;GO;ATIVO PERMANENTE;2548.93;19286.78;0
FEMININO;66;MG;APOSENTADO;1353.61;2210.82;0
FEMININO;54;RJ;ATIVO PERMANENTE;216.87;4052.70;0
MASCULINO;39;RS;ATIVO PERMANENTE;4482.02;15147.45;0
FEMININO;84;PE;APOSENTADO;107.83;4202.62;0
FEMININO;77;RJ;BENEFICIARIO PENSAO;28.98;1800.00;0
MASCULINO;31;PA;ATIVO PERMANENTE;423.16;5178.02;0
MASCULINO;38;GO;ATIVO PERMANENTE;4163.04;7166.48;0
MASCULINO;37;GO;ATIVO PERMANENTE;1046.25;5596.59;0
FEMININO;38;GO;CELETISTA EMPREGADO;2433.42;14305.02;0
FEMININO;44;MA;ATIVO PERMANENTE;172.55;5176.67;0
FEMININO;39;RS;ATIVO PERMANENTE;1909.70;7669.17;0
MASCULINO;36;PI;ATIVO PERMANENTE;2162.52;3436.38;0
FEMININO;82;CE;APOSENTADO;118.93;3614.51;0
MASCULINO;38;DF;ATIVO PERMANENTE;1212.34;23909.41;0
FEMININO;37;CE;ATIVO PERMANENTE;127.36;4967.18;0
MASCULINO;45;MG;ATIVO PERMANENTE;559.89;16797.27;0
FEMININO;38;MA;CELETISTA EMPREGADO;125.28;2970.54;0
FEMININO;83;MG;BENEFICIARIO PENSAO;98.44;14869.48;0
FEMININO;83;MG;APOSENTADO;4950.68;11741.98;0
FEMININO;45;MG;ATIVO PERMANENTE;1008.33;7064.35;0
MASCULINO;68;SP;APOSENTADO;8185.36;27752.27;0
MASCULINO;31;AP;ATIVO PERMANENTE;2425.95;9180.59;0
FEMININO;37;MT;ATIVO PERMANENTE;6421.64;14382.40;0
MASCULINO;83;CE;APOSENTADO;1075.28;4881.12;0
FEMININO;43;PR;ATIVO PERMANENTE;1817.08;2922.76;0
FEMININO;80;PE;APOSENTADO;124.33;2294.19;0
MASCULINO;40;SE;ATIVO PERMANENTE;626.49;1966.87;0
FEMININO;38;MT;ATIVO PERMANENTE;1790.70;5197.50;0
MASCULINO;36;DF;ATIVO PERMANENTE;1503.49;12542.79;0
MASCULINO;39;RS;ATIVO PERMANENTE;11077.58;19765.49;0
FEMININO;83;PA;APOSENTADO;165.39;4962.03;0
FEMININO;83;CE;APOSENTADO;507.45;1511.36;0
FEMININO;83;PB;APOSENTADO;906.42;1954.34;0
FEMININO;38;GO;ATIVO PERMANENTE;2939.11;6016.14;0
FEMININO;54;RJ;ATIVO PERMANENTE;114.00;1904.92;0
FEMININO;81;RJ;BENEFICIARIO PENSAO;62.04;1978.14;0
FEMININO;82;PA;BENEFICIARIO PENSAO;7561.00;22922.64;0
MASCULINO;39;RS;ATIVO PERMANENTE;856.37;2517.54;0
MASCULINO;39;DF;ATIVO PERMANENTE;2471.56;11461.16;0
FEMININO;37;DF;ATIVO PERMANENTE;89.66;2689.98;0
FEMININO;82;DF;APOSENTADO;1223.34;20977.11;0
FEMININO;37;DF;NAO INFORMADO;1680.84;10219.23;0
FEMININO;38;DF;NOMEADO CARGO COMIS;809.93;4441.50;0
FEMININO;39;SC;ATIVO PERMANENTE;2648.25;7971.84;0
FEMININO;78;RJ;APOSENTADO;76.11;2393.22;0
MASCULINO;80;SP;APOSENTADO;6841.74;45100.93;0
FEMININO;31;PA;ATIVO PERMANENTE;1309.47;3828.09;0
MASCULINO;66;RJ;BENEFICIARIO PENSAO;23.12;2435.46;0
FEMININO;81;BA;APOSENTADO;61.60;4165.32;0
MASCULINO;38;DF;ATIVO PERMANENTE;2455.06;9716.30;0
MASCULINO;43;MG;CELETISTA EMPREGADO;246.80;1028.51;0
FEMININO;54;RJ;CELETISTA EMPREGADO;435.07;1205.12;0
MASCULINO;46;MG;ATIVO PERMANENTE;3440.64;13250.28;0
FEMININO;53;RJ;BENEFICIARIO PENSAO;423.22;571.41;0
MASCULINO;65;SP;APOSENTADO;9450.24;38084.91;0
FEMININO;77;PA;APOSENTADO;735.00;8712.82;0
MASCULINO;51;RJ;ATIVO PERMANENTE;1378.08;2649.11;0
FEMININO;78;RS;APOSENTADO;69.75;3555.60;0
MASCULINO;82;DF;APOSENTADO;2211.08;24340.26;0
MASCULINO;80;PR;APOSENTADO;110.16;1664.56;0
MASCULINO;38;DF;ATIVO PERMANENTE;1269.23;11112.76;0
FEMININO;44;PB;ATIVO PERMANENTE;140.88;8150.06;0
MASCULINO;48;MG;CELETISTA EMPREGADO;975.98;8011.20;0
FEMININO;36;DF;NAO INFORMADO;1555.86;3094.34;0
FEMININO;84;DF;APOSENTADO;248.66;2547.67;0
FEMININO;81;PE;APOSENTADO;994.64;10660.84;0
FEMININO;74;PA;APOSENTADO;268.14;4456.90;0
FEMININO;69;SP;APOSENTADO;193.60;5808.12;0
MASCULINO;38;DF;ATIVO PERMANENTE;6509.59;10616.32;0
FEMININO;83;SP;APOSENTADO;1667.09;3111.24;0
FEMININO;42;RS;CELETISTA EMPREGADO;389.23;1113.61;0
MASCULINO;77;PA;APOSENTADO;1060.89;6821.35;0
MASCULINO;36;RN;ATIVO PERMANENTE;709.86;21296.60;0
MASCULINO;72;RJ;APOSENTADO;302.12;11422.45;0
MASCULINO;45;PB;NAO INFORMADO;1899.94;6330.02;0
MASCULINO;37;DF;ATIVO PERMANENTE;60.60;7075.10;0
MASCULINO;48;SC;CELETISTA EMPREGADO;729.27;7027.54;0
FEMININO;80;CE;APOSENTADO;208.36;6250.88;0
MASCULINO;35;DF;ATIVO PERMANENTE;1083.51;3181.64;0
MASCULINO;51;DF;NOMEADO CARGO COMIS;220.84;1709.80;0
MASCULINO;45;DF;ATIVO PERMANENTE;194.61;25965.60;0
FEMININO;40;BA;ATIVO PERMANENTE;435.88;8010.44;0
FEMININO;38;PI;ATIVO PERMANENTE;892.12;8914.57;0
FEMININO;80;PA;APOSENTADO;585.25;1470.70;0
FEMININO;69;GO;BENEFICIARIO PENSAO;13.70;2611.26;0
MASCULINO;81;DF;APOSENTADO;5635.83;21042.04;0
MASCULINO;41;BA;ATIVO PERMANENTE;1002.21;1628.94;0
FEMININO;83;PE;APOSENTADO;458.43;17300.65;0
MASCULINO;38;DF;ATIVO PERMANENTE;4009.04;7486.42;0
MASCULINO;38;CE;ATIVO PERMANENTE;491.48;1018.09;0
FEMININO;38;GO;ATIVO PERMANENTE;435.88;8443.08;0
MASCULINO;36;PI;ATIVO PERMANENTE;1438.04;8850.84;0
MASCULINO;40;RS;CELETISTA EMPREGADO;1006.87;1513.05;0
FEMININO;32;PA;ATIVO PERMANENTE;4051.25;8777.72;0
FEMININO;38;RS;ATIVO PERMANENTE;1269.52;14777.87;0
MASCULINO;32;PE;ATIVO PERMANENTE;626.28;5769.70;0
FEMININO;79;PA;APOSENTADO;334.33;6347.10;0
FEMININO;38;DF;ATIVO PERMANENTE;784.38;16871.91;0
FEMININO;38;PI;ATIVO PERMANENTE;2434.80;5782.64;0
MASCULINO;81;PA;APOSENTADO;118.00;9299.56;0
FEMININO;84;CE;APOSENTADO;672.31;1313.67;0
MASCULINO;71;MG;APOSENTADO;20.85;5151.03;0
FEMININO;76;SP;APOSENTADO;337.94;1885.90;0
FEMININO;37;PI;ATIVO PERMANENTE;659.41;1391.76;0
FEMININO;39;RS;ATIVO PERMANENTE;186.32;5589.78;0
MASCULINO;77;PA;APOSENTADO;68.06;2041.96;0
FEMININO;31;PA;ATIVO PERMANENTE;95.00;3445.03;0
FEMININO;47;MG;ATIVO PERMANENTE;717.00;2300.80;0
FEMININO;46;MG;ATIVO PERMANENTE;1178.24;5247.84;0
FEMININO;44;BA;ATIVO PERMANENTE;1560.38;5349.91;0
FEMININO;83;PA;APOSENTADO;4441.67;11771.90;0
MASCULINO;53;RJ;CELETISTA EMPREGADO;706.00;4351.08;0
FEMININO;72;RJ;APOSENTADO;42.86;3598.30;0
MASCULINO;43;BA;CELETISTA EMPREGADO;1437.90;2527.97;0
MASCULINO;36;MT;ATIVO PERMANENTE;2570.65;5587.65;0
FEMININO;78;MG;APOSENTADO;1456.71;2188.23;0
MASCULINO;32;MG;ATIVO PERMANENTE;1492.94;2342.05;0
FEMININO;70;MG;BENEFICIARIO PENSAO;3318.20;14276.19;0
FEMININO;84;CE;APOSENTADO;17.48;3003.98;0
MASCULINO;37;DF;ATIVO PERMANENTE;1820.43;7513.02;0
FEMININO;83;PA;APOSENTADO;3035.22;11613.16;0
FEMININO;37;DF;ATIVO PERMANENTE;1159.87;5775.68;0
FEMININO;83;PA;ANIST PUBLICO L10559;9386.30;15286.56;0
MASCULINO;83;PE;APOSENTADO;188.52;8002.59;0
MASCULINO;36;DF;ATIVO PERMANENTE;367.41;8772.78;0
FEMININO;77;PA;APOSENTADO;575.80;17274.15;0
MASCULINO;38;DF;ATIVO PERMANENTE;59.01;4396.47;0
MASCULINO;74;SP;APOSENTADO;541.38;1629.32;0
FEMININO;45;SC;ATIVO PERMANENTE;165.56;4967.18;0
FEMININO;77;SC;BENEFICIARIO PENSAO;3392.59;5882.73;0
FEMININO;37;GO;ATIVO PERMANENTE;430.08;11734.52;0
MASCULINO;83;DF;APOSENTADO;982.32;16390.08;0
FEMININO;78;PA;APOSENTADO;2839.28;6906.69;0
MASCULINO;78;RS;APOSENTADO;929.26;13112.60;0
FEMININO;76;SP;APOSENTADO;5775.59;16161.24;0
FEMININO;40;RS;CELETISTA EMPREGADO;271.52;1702.07;0
FEMININO;84;PA;APOSENTADO;355.68;10551.09;0
FEMININO;33;PI;ATIVO PERMANENTE;1852.68;18115.56;0
FEMININO;36;CE;ATIVO PERMANENTE;5672.54;7817.58;0
MASCULINO;54;AC;ATIVO PERMANENTE;2615.00;4963.71;0
FEMININO;64;SP;APOSENTADO;274.18;2940.22;0
MASCULINO;39;RS;CELETISTA EMPREGADO;3146.39;21991.56;0
FEMININO;45;PB;BENEFICIARIO PENSAO;781.52;1466.72;0
FEMININO;80;PA;APOSENTADO;3283.57;12957.00;0
FEMININO;84;PE;APOSENTADO;4245.36;9554.81;0
MASCULINO;47;PB;ATIVO PERMANENTE;974.71;11885.02;0
FEMININO;38;MS;ATIVO PERMANENTE;1192.57;3307.34;0
FEMININO;38;MS;ATIVO PERMANENTE;949.70;3008.08;0
MASCULINO;46;PB;ATIVO PERMANENTE;2540.51;8936.40;0
MASCULINO;37;MS;ATIVO PERMANENTE;30.00;4550.18;0
MASCULINO;49;PB;ATIVO PERMANENTE;5392.88;18411.11;0
MASCULINO;38;SC;ATIVO PERMANENTE;1657.20;12877.68;0
FEMININO;80;MG;APOSENTADO;54.00;23572.17;0
MASCULINO;37;PI;ATIVO PERMANENTE;1691.41;14554.70;0
FEMININO;45;MG;ATIVO PERMANENTE;111.82;2795.50;0
MASCULINO;36;PI;CELETISTA EMPREGADO;3164.40;9498.66;0
FEMININO;46;MT;ATIVO PERMANENTE;372.62;5226.47;0
FEMININO;82;CE;APOSENTADO;747.38;4443.94;0
FEMININO;80;PA;APOSENTADO;2175.71;4025.42;0
FEMININO;81;PA;APOSENTADO;331.14;2107.66;0
FEMININO;82;CE;APOSENTADO;540.96;9043.74;0
MASCULINO;37;SP;ATIVO PERMANENTE;358.90;10767.48;0
FEMININO;45;PB;ATIVO PERMANENTE;382.25;6499.45;0
FEMININO;41;BA;ATIVO PERMANENTE;164.00;242.84;0
MASCULINO;39;RS;ATIVO PERMANENTE;165.91;4977.57;0
FEMININO;37;CE;ATIVO PERMANENTE;63.96;2494.76;0
MASCULINO;43;DF;ATIVO PERMANENTE;3526.28;6317.00;0
MASCULINO;32;PA;ATIVO PERMANENTE;994.11;2884.41;0
FEMININO;84;SP;APOSENTADO;1547.18;5357.74;0
MASCULINO;39;MT;ATIVO PERMANENTE;1221.88;1761.46;0
MASCULINO;36;MT;ATIVO PERMANENTE;1248.27;18317.55;0
FEMININO;81;PA;APOSENTADO;117.84;6755.46;0
MASCULINO;38;RS;ATIVO PERMANENTE;12931.76;26392.10;0
FEMININO;75;RJ;BENEFICIARIO PENSAO;1530.92;2700.84;0
FEMININO;56;RJ;BENEFICIARIO PENSAO;157.42;915.52;0
MASCULINO;81;PR;APOSENTADO;73.43;1710.46;0
MASCULINO;46;MG;ATIVO PERMANENTE;50.00;5960.14;0
MASCULINO;84;PA;APOSENTADO;3523.74;30666.88;0
FEMININO;78;PB;BENEFICIARIO PENSAO;599.10;1069.82;0
FEMININO;72;RJ;APOSENTADO;824.86;11141.50;0
FEMININO;79;MG;APOSENTADO;120.85;3224.81;0
FEMININO;83;PR;APOSENTADO;130.71;2108.11;0
MASCULINO;37;DF;ATIVO PERMANENTE;659.42;5319.50;0
FEMININO;33;CE;ATIVO PERMANENTE;59.24;2310.98;0
MASCULINO;41;BA;ATIVO PERMANENTE;729.52;21886.52;0
MASCULINO;42;SE;ATIVO PERMANENTE;534.49;2435.47;0
FEMININO;52;ES;ATIVO PERMANENTE;75.28;272.32;0
FEMININO;38;GO;CELETISTA EMPREGADO;717.64;1990.49;0
FEMININO;78;MG;APOSENTADO;9573.20;32151.06;0
MASCULINO;46;MG;ATIVO PERMANENTE;1824.54;12810.04;0
FEMININO;32;PA;ATIVO PERMANENTE;159.27;4778.94;0
FEMININO;84;PA;APOSENTADO;277.20;18761.46;0
FEMININO;84;MG;APOSENTADO;11691.36;51033.26;0
FEMININO;36;DF;ATIVO PERMANENTE;6124.05;9138.78;0
MASCULINO;79;PA;APOSENTADO;836.92;10117.16;0
FEMININO;54;RJ;ATIVO PERMANENTE;227.33;5451.36;0
FEMININO;53;PE;ATIVO PERMANENTE;410.60;12318.00;0
FEMININO;80;PA;APOSENTADO;94.92;2847.63;0
FEMININO;82;PA;BENEFICIARIO PENSAO;5667.68;13307.00;0
MASCULINO;65;SP;APOSENTADO;183.03;10283.32;0
MASCULINO;64;RN;APOSENTADO;855.69;7946.90;0
MASCULINO;32;PR;ATIVO PERMANENTE;3333.82;14466.20;0
FEMININO;38;MA;ATIVO PERMANENTE;863.40;13126.50;0
FEMININO;36;CE;CELETISTA EMPREGADO;993.54;2082.48;0
FEMININO;38;RS;ATIVO PERMANENTE;4029.06;7870.08;0
MASCULINO;51;RJ;ATIVO PERMANENTE;436.68;13033.38;0
FEMININO;83;PA;APOSENTADO;379.57;13187.04;0
MASCULINO;32;AM;ATIVO PERMANENTE;6034.97;13481.40;0
FEMININO;79;RJ;BENEFICIARIO PENSAO;1017.64;2691.34;0
MASCULINO;38;DF;ATIVO PERMANENTE;493.66;2063.01;0
MASCULINO;37;DF;ATIVO PERMANENTE;1559.34;7423.89;0
FEMININO;63;RJ;BENEFICIARIO PENSAO;337.94;2179.28;0
FEMININO;37;DF;NOMEADO CARGO COMIS;920.80;3998.30;0
MASCULINO;54;RJ;CEDIDO SUS LEI 8270;1025.74;4483.04;0
FEMININO;43;CE;BENEFICIARIO PENSAO;775.26;1051.92;0
FEMININO;80;MG;APOSENTADO;325.89;1695.79;0
MASCULINO;83;PE;APOSENTADO;9082.60;23623.37;0
FEMININO;39;DF;ATIVO PERMANENTE;322.12;1654.14;0
MASCULINO;37;SP;ATIVO PERMANENTE;2681.86;13531.56;0
FEMININO;57;RJ;BENEFICIARIO PENSAO;32.32;937.58;0
FEMININO;54;RJ;BENEFICIARIO PENSAO;32.32;937.58;0
FEMININO;37;SP;ATIVO PERMANENTE;724.41;15310.08;0
MASCULINO;61;RJ;APOSENTADO;363.50;1042.64;0
FEMININO;54;RJ;ATIVO PERMANENTE;2457.59;16773.84;0
MASCULINO;52;RJ;ATIVO PERMANENTE;460.38;4955.05;0
MASCULINO;37;CE;ATIVO PERMANENTE;373.26;11198.18;0
MASCULINO;45;MG;ATIVO PERMANENTE;358.90;10767.48;0
MASCULINO;37;CE;ATIVO PERMANENTE;1320.12;13065.51;0
FEMININO;31;PA;ATIVO PERMANENTE;43.34;1300.33;0
FEMININO;83;RJ;APOSENTADO;5008.68;18581.64;0
FEMININO;37;TO;ATIVO PERMANENTE;68.37;1531.10;0
FEMININO;82;PE;APOSENTADO;1002.72;32049.48;0
MASCULINO;40;RS;ATIVO PERMANENTE;6091.18;8249.78;0
MASCULINO;39;RS;ATIVO PERMANENTE;1616.02;3428.06;0
MASCULINO;40;SE;ATIVO PERMANENTE;3864.53;15036.96;0
FEMININO;82;AM;APOSENTADO;2951.17;8588.79;0
FEMININO;37;SP;ATIVO PERMANENTE;500.88;15027.00;0
FEMININO;37;DF;ATIVO PERMANENTE;2933.09;13843.20;0
MASCULINO;65;SP;APOSENTADO;3785.30;9847.60;0
FEMININO;41;RS;ATIVO PERMANENTE;1015.41;2524.62;0
MASCULINO;83;SP;APOSENTADO;109.86;2319.24;0
FEMININO;52;RJ;CELETISTA EMPREGADO;8195.89;33840.99;0
FEMININO;84;AM;APOSENTADO;745.98;7074.27;0
