"sexo","idade","uf","situacao_funcional","tipo_contrato","pmt_valor","margem_saldo","conceder"
FEMININO,80,RS,APOSENTADO,ESTAVEL,1922.60,5160.92,0
FEMININO,80,RS,APOSENTADO,ESTAVEL,1595.98,4477.56,0
MASCULINO,92,RJ,APOSENTADO,ESTAVEL,39.32,3244.21,1
MASCULINO,92,RJ,APOSENTADO,ESTAVEL,72.02,6495.04,1
FEMININO,53,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2783.52,-2898.00,1
MASCULINO,36,MG,ATIVO PERMANENTE,ESTAVEL,748.42,2064.08,0
MASCULINO,36,MG,ATIVO PERMANENTE,ESTAVEL,965.05,1753.42,0
FEMININO,40,MA,CELETISTA EMPREGADO,ESTAVEL,1084.41,170.99,1
FEMININO,75,GO,APOSENTADO,ESTAVEL,9723.39,19903.32,0
FEMININO,55,RJ,APOSENTADO,ESTAVEL,576.33,4161.24,0
MASCULINO,57,RJ,CEDIDO SUS LEI 8270,ESTAVEL,5170.67,-6822.96,1
MASCULINO,52,RJ,ATIVO PERMANENTE,ESTAVEL,550.29,3251.90,0
MASCULINO,52,RJ,ATIVO PERMANENTE,ESTAVEL,1530.57,6894.00,0
MASCULINO,56,SC,NAO INFORMADO,ESTAVEL,119.00,598.80,0
MASCULINO,56,SC,NAO INFORMADO,ESTAVEL,119.00,3570.52,0
MASCULINO,58,RJ,ATIVO PERMANENTE,ESTAVEL,1862.14,2880.35,0
MASCULINO,57,RJ,ATIVO PERMANENTE,ESTAVEL,1583.69,417.55,1
MASCULINO,87,PR,APOSENTADO,ESTAVEL,177.00,17984.25,1
FEMININO,37,DF,BENEFICIARIO PENSAO,NAO ESTAVEL,2064.42,-1443.50,1
FEMININO,55,RJ,ATIVO PERMANENTE,ESTAVEL,1842.45,-2132.64,1
MASCULINO,40,MS,ATIVO PERMANENTE,ESTAVEL,831.53,11245.95,0
MASCULINO,40,MS,ATIVO PERMANENTE,ESTAVEL,831.53,14292.00,0
MASCULINO,82,SP,APOSENTADO,ESTAVEL,683.21,15209.95,0
MASCULINO,82,SP,APOSENTADO,ESTAVEL,3703.19,22212.60,0
MASCULINO,35,DF,ATIVO PERMANENTE,ESTAVEL,1329.37,118.34,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,2255.10,1256.88,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,2130.44,2072.70,1
MASCULINO,45,GO,CELETISTA EMPREGADO,ESTAVEL,2433.18,3198.78,1
MASCULINO,45,GO,CELETISTA EMPREGADO,ESTAVEL,1640.67,2337.48,0
FEMININO,50,RJ,CEDIDO SUS LEI 8270,ESTAVEL,302.18,2010.96,0
FEMININO,50,RJ,CEDIDO SUS LEI 8270,ESTAVEL,125.56,721.38,0
FEMININO,82,PA,APOSENTADO,ESTAVEL,45.99,1384.39,0
FEMININO,37,MS,ATIVO PERMANENTE,ESTAVEL,5601.20,5622.82,1
FEMININO,36,DF,CELETISTA EMPREGADO,ESTAVEL,3887.82,8048.04,0
FEMININO,37,RO,ATIVO PERMANENTE,ESTAVEL,9630.08,-2308.56,1
FEMININO,33,DF,ATIVO PERMANENTE,ESTAVEL,5035.88,-2045.61,1
FEMININO,76,BA,APOSENTADO,ESTAVEL,50.06,713.10,0
FEMININO,76,BA,APOSENTADO,ESTAVEL,896.53,1075.98,1
FEMININO,82,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,248.66,1345.62,0
FEMININO,82,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,248.66,3688.16,0
FEMININO,37,DF,ATIVO PERMANENTE,ESTAVEL,3418.52,2402.46,1
FEMININO,61,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2284.64,-449.12,1
FEMININO,72,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2341.52,1278.08,1
FEMININO,84,PA,APOSENTADO,ESTAVEL,333.10,3423.51,0
FEMININO,45,MG,ATIVO PERMANENTE,ESTAVEL,546.08,16382.22,0
MASCULINO,89,SP,APOSENTADO,ESTAVEL,1732.14,6262.77,1
MASCULINO,89,SP,APOSENTADO,ESTAVEL,3442.94,12952.38,1
FEMININO,73,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1543.78,-765.70,1
MASCULINO,71,SP,APOSENTADO,ESTAVEL,6294.23,10662.21,0
FEMININO,85,PA,APOSENTADO,ESTAVEL,2650.37,2152.92,1
FEMININO,84,PR,APOSENTADO,ESTAVEL,731.48,4341.00,0
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,2936.34,450.42,1
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,2936.34,461.08,1
FEMININO,38,RS,NAO INFORMADO,ESTAVEL,2936.34,0.00,1
MASCULINO,41,BA,ATIVO PERMANENTE,ESTAVEL,4571.54,2738.84,1
MASCULINO,59,RJ,ATIVO PERMANENTE,ESTAVEL,86.14,2603.66,0
FEMININO,64,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,44.26,1074.20,0
FEMININO,81,CE,APOSENTADO,ESTAVEL,71.42,3496.56,0
FEMININO,53,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,2391.36,-24.98,1
FEMININO,38,SC,ATIVO PERMANENTE,ESTAVEL,1156.76,17278.95,0
FEMININO,38,SC,ATIVO PERMANENTE,ESTAVEL,1832.68,20818.80,0
FEMININO,81,RS,BENEFICIARIO PENSAO,NAO ESTAVEL,1112.55,1426.72,1
FEMININO,55,RJ,ATIVO PERMANENTE,ESTAVEL,12305.22,-1345.62,1
FEMININO,95,RJ,APOSENTADO,ESTAVEL,248.66,2606.68,1
MASCULINO,40,RJ,ATIVO PERMANENTE,ESTAVEL,255.26,7657.80,0
MASCULINO,77,PA,APOSENTADO,ESTAVEL,18142.06,9673.12,1
MASCULINO,84,MS,APOSENTADO,ESTAVEL,54.00,13227.54,0
FEMININO,80,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,733.44,81.64,1
MASCULINO,40,BA,ATIVO PERMANENTE,ESTAVEL,5839.46,-1363.11,1
MASCULINO,40,BA,ATIVO PERMANENTE,ESTAVEL,2888.08,223.35,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,1029.41,1616.48,0
FEMININO,78,PA,APOSENTADO,ESTAVEL,1029.41,2405.12,0
MASCULINO,55,RJ,ATIVO PERMANENTE,ESTAVEL,9604.74,1752.66,1
FEMININO,46,MG,ATIVO PERMANENTE,ESTAVEL,1468.37,339.12,1
FEMININO,62,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1745.04,1589.82,1
FEMININO,36,DF,ATIVO PERMANENTE,ESTAVEL,1014.02,3607.20,0
FEMININO,86,PE,APOSENTADO,ESTAVEL,784.26,5730.63,1
FEMININO,91,PR,APOSENTADO,ESTAVEL,466.34,10767.96,1
FEMININO,42,RS,CELETISTA EMPREGADO,ESTAVEL,760.47,156.34,1
FEMININO,55,RJ,CEDIDO SUS LEI 8270,ESTAVEL,812.97,4140.00,0
MASCULINO,39,DF,ATIVO PERMANENTE,ESTAVEL,7500.93,-3682.50,1
MASCULINO,41,PE,ATIVO PERMANENTE,ESTAVEL,306.13,1074.01,0
MASCULINO,41,PE,ATIVO PERMANENTE,ESTAVEL,513.25,2963.74,0
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,2190.92,477.06,1
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,1095.46,251.20,1
FEMININO,90,SP,APOSENTADO,ESTAVEL,1449.36,1316.73,1
FEMININO,90,SP,APOSENTADO,ESTAVEL,1318.65,968.02,1
FEMININO,87,CE,APOSENTADO,ESTAVEL,39.32,1895.94,1
FEMININO,87,CE,APOSENTADO,ESTAVEL,36.01,1899.25,1
MASCULINO,38,GO,ATIVO PERMANENTE,ESTAVEL,3316.90,4278.96,1
MASCULINO,84,CE,APOSENTADO,ESTAVEL,114.60,5968.47,0
MASCULINO,84,CE,APOSENTADO,ESTAVEL,76.40,3981.38,0
MASCULINO,32,AM,ATIVO PERMANENTE,ESTAVEL,2391.94,2008.38,1
MASCULINO,36,DF,ATIVO PERMANENTE,ESTAVEL,1653.53,-934.65,1
MASCULINO,92,BA,APOSENTADO,ESTAVEL,115.74,5745.39,1
MASCULINO,92,BA,APOSENTADO,ESTAVEL,154.32,8483.92,1
FEMININO,38,DF,CELETISTA EMPREGADO,ESTAVEL,1198.16,6632.80,0
FEMININO,86,PE,APOSENTADO,ESTAVEL,3330.37,9350.04,1
MASCULINO,36,DF,ATIVO PERMANENTE,ESTAVEL,5492.65,170.40,1
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,7287.93,-8293.23,1
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,5796.02,-5663.34,1
MASCULINO,52,RJ,ATIVO PERMANENTE,ESTAVEL,2986.59,-3738.24,1
FEMININO,37,DF,CELETISTA EMPREGADO,ESTAVEL,3273.40,-2174.15,1
FEMININO,37,DF,CELETISTA EMPREGADO,ESTAVEL,2580.96,6.01,1
FEMININO,58,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1184.16,-713.52,1
FEMININO,36,CE,CELETISTA EMPREGADO,ESTAVEL,491.88,896.73,0
FEMININO,36,CE,CELETISTA EMPREGADO,ESTAVEL,983.76,1793.80,0
MASCULINO,88,DF,APOSENTADO,ESTAVEL,266.50,10232.00,1
FEMININO,77,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,4343.60,470.00,1
FEMININO,66,RJ,APOSENTADO,ESTAVEL,1046.36,0.00,1
MASCULINO,39,RS,ATIVO PERMANENTE,ESTAVEL,2181.03,5762.05,0
MASCULINO,39,RS,ATIVO PERMANENTE,ESTAVEL,3392.32,4135.20,1
MASCULINO,41,BA,NOMEADO CARGO COMIS,ESTAVEL,1009.26,5116.98,0
MASCULINO,81,MG,APOSENTADO,ESTAVEL,2459.85,13527.57,0
MASCULINO,81,MG,APOSENTADO,ESTAVEL,4617.04,47635.83,0
MASCULINO,38,DF,ATIVO PERMANENTE,ESTAVEL,2210.85,5125.28,0
MASCULINO,36,SP,NAO INFORMADO,ESTAVEL,1691.31,0.00,1
MASCULINO,36,SP,NOMEADO CARGO COMIS,ESTAVEL,3826.31,-2549.52,1
MASCULINO,79,RN,APOSENTADO,ESTAVEL,48.17,1203.40,0
FEMININO,88,CE,APOSENTADO,ESTAVEL,824.06,9525.56,1
FEMININO,88,CE,APOSENTADO,ESTAVEL,937.78,10070.28,1
FEMININO,56,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,36.46,2406.04,0
MASCULINO,45,AL,CELETISTA EMPREGADO,ESTAVEL,2018.72,4794.28,0
MASCULINO,45,AL,CELETISTA EMPREGADO,ESTAVEL,1009.36,2398.72,0
FEMININO,77,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,756.02,-1168.80,1
FEMININO,77,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,660.86,3367.02,0
MASCULINO,35,DF,ATIVO PERMANENTE,ESTAVEL,1846.99,13271.75,0
MASCULINO,35,MG,ATIVO PERMANENTE,ESTAVEL,2735.11,6199.44,0
FEMININO,48,PB,CELETISTA EMPREGADO,ESTAVEL,4168.36,1973.92,1
FEMININO,48,PB,CELETISTA EMPREGADO,ESTAVEL,937.89,800.45,1
FEMININO,38,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1137.54,626.20,1
MASCULINO,58,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,888.36,0.20,1
FEMININO,89,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,196.06,543.38,1
FEMININO,39,RS,ATIVO PERMANENTE,ESTAVEL,828.65,2292.99,0
FEMININO,39,RS,ATIVO PERMANENTE,ESTAVEL,730.62,862.36,1
FEMININO,45,PB,ATIVO PERMANENTE,ESTAVEL,2565.74,0.00,1
MASCULINO,36,MA,ATIVO PERMANENTE,ESTAVEL,372.30,-6088.65,1
MASCULINO,36,MA,ATIVO PERMANENTE,ESTAVEL,159.17,-3838.62,1
MASCULINO,36,MA,NAO INFORMADO,ESTAVEL,444.96,0.00,1
FEMININO,83,PR,APOSENTADO,ESTAVEL,745.98,7461.18,0
FEMININO,80,PR,APOSENTADO,ESTAVEL,83.23,3383.02,0
FEMININO,78,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,6952.86,12625.20,0
FEMININO,87,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,373.00,1282.08,1
FEMININO,40,RS,CELETISTA EMPREGADO,ESTAVEL,1274.37,226.89,1
MASCULINO,55,SP,ATIVO PERMANENTE,ESTAVEL,76.68,2300.64,0
FEMININO,27,RS,ATIVO PERMANENTE,ESTAVEL,108.68,3260.90,0
MASCULINO,82,PE,APOSENTADO,ESTAVEL,3526.85,5626.86,0
MASCULINO,82,PE,APOSENTADO,ESTAVEL,1727.38,4552.72,0
MASCULINO,82,PE,APOSENTADO,ESTAVEL,3983.78,20077.80,0
MASCULINO,82,PR,APOSENTADO,ESTAVEL,296.28,8888.70,0
MASCULINO,82,PR,APOSENTADO,ESTAVEL,296.28,13328.12,0
FEMININO,36,DF,BENEFICIARIO PENSAO,NAO ESTAVEL,592.77,2131.47,0
FEMININO,36,DF,BENEFICIARIO PENSAO,NAO ESTAVEL,568.77,1468.98,0
FEMININO,45,SC,ATIVO PERMANENTE,ESTAVEL,6578.00,7543.28,1
FEMININO,59,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,816.60,-654.36,1
FEMININO,53,RJ,ATIVO PERMANENTE,ESTAVEL,923.00,1455.38,0
FEMININO,60,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,5402.36,-526.44,1
MASCULINO,78,PA,APOSENTADO,ESTAVEL,7885.92,-6384.00,1
FEMININO,86,CE,APOSENTADO,ESTAVEL,2431.86,3195.52,1
FEMININO,86,CE,APOSENTADO,ESTAVEL,3223.71,2153.15,1
FEMININO,86,CE,APOSENTADO,ESTAVEL,2168.92,8827.10,1
FEMININO,86,CE,APOSENTADO,ESTAVEL,2559.78,16168.77,1
FEMININO,46,SC,ATIVO PERMANENTE,ESTAVEL,4354.81,-1896.56,1
FEMININO,59,RJ,ATIVO PERMANENTE,ESTAVEL,248.66,2847.68,0
MASCULINO,54,RJ,ATIVO PERMANENTE,ESTAVEL,363.42,8685.87,0
FEMININO,83,MG,APOSENTADO,ESTAVEL,1045.68,7421.64,0
FEMININO,83,MG,APOSENTADO,ESTAVEL,784.26,6200.22,0
MASCULINO,43,PB,CONTRATO TEMPORARIO,NAO ESTAVEL,875.20,8.00,1
FEMININO,71,SC,APOSENTADO,ESTAVEL,884.23,1942.65,0
FEMININO,55,RJ,ATIVO PERMANENTE,ESTAVEL,2479.87,72.20,1
FEMININO,87,BA,APOSENTADO,ESTAVEL,30.00,2176.17,1
MASCULINO,85,PE,APOSENTADO,ESTAVEL,3251.98,1515.08,1
MASCULINO,85,PE,APOSENTADO,ESTAVEL,271.40,1759.16,1
FEMININO,37,MA,CELETISTA EMPREGADO,ESTAVEL,401.52,476.07,1
MASCULINO,38,RS,CELETISTA EMPREGADO,ESTAVEL,1673.19,7046.16,0
MASCULINO,38,RS,CELETISTA EMPREGADO,ESTAVEL,1152.92,6470.72,0
MASCULINO,84,DF,APOSENTADO,ESTAVEL,2588.13,8507.73,0
MASCULINO,39,RS,CELETISTA EMPREGADO,ESTAVEL,755.10,570.82,1
FEMININO,36,DF,ATIVO PERMANENTE,ESTAVEL,591.42,19456.86,0
FEMININO,36,DF,ATIVO PERMANENTE,ESTAVEL,1103.40,25981.36,0
FEMININO,68,BA,BENEFICIARIO PENSAO,NAO ESTAVEL,5184.66,-3498.97,1
FEMININO,68,BA,BENEFICIARIO PENSAO,NAO ESTAVEL,5184.66,1.28,1
MASCULINO,46,PB,ATIVO PERMANENTE,ESTAVEL,1463.35,18865.02,0
MASCULINO,46,PB,ATIVO PERMANENTE,ESTAVEL,702.88,9644.01,0
FEMININO,68,SP,APOSENTADO,ESTAVEL,9006.45,4061.61,1
MASCULINO,40,SC,ATIVO PERMANENTE,ESTAVEL,43.22,1296.63,0
FEMININO,76,PA,APOSENTADO,ESTAVEL,548.88,18392.64,0
FEMININO,37,DF,ATIVO PERMANENTE,ESTAVEL,3090.75,-362.75,1
MASCULINO,40,MG,ATIVO PERMANENTE,ESTAVEL,3826.91,1731.44,1
MASCULINO,95,RS,BENEFICIARIO PENSAO,NAO ESTAVEL,40.00,3233.42,1
MASCULINO,43,MG,ATIVO PERMANENTE,ESTAVEL,6752.37,9601.65,0
MASCULINO,51,RJ,CELETISTA EMPREGADO,ESTAVEL,6579.61,34585.70,0
MASCULINO,51,RJ,CELETISTA EMPREGADO,ESTAVEL,1857.36,36902.60,0
FEMININO,85,PA,APOSENTADO,ESTAVEL,1841.08,470.18,1
FEMININO,63,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1550.50,910.40,1
FEMININO,63,PB,BENEFICIARIO PENSAO,NAO ESTAVEL,1537.30,722.40,1
FEMININO,58,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1148.45,-223.02,1
FEMININO,56,RJ,ATIVO PERMANENTE,ESTAVEL,4349.28,-5388.72,1
FEMININO,57,RJ,ATIVO PERMANENTE,ESTAVEL,1035.00,-3343.99,1
FEMININO,57,RJ,ATIVO PERMANENTE,ESTAVEL,1725.63,189.28,1
FEMININO,38,DF,NAO INFORMADO,ESTAVEL,2549.95,0.00,1
FEMININO,38,DF,NOMEADO CARGO COMIS,ESTAVEL,1705.66,0.00,1
MASCULINO,73,RJ,APOSENTADO,ESTAVEL,5090.18,-1453.16,1
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,393.41,-67.94,1
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,393.41,797.87,0
MASCULINO,39,BA,ATIVO PERMANENTE,ESTAVEL,11003.16,-287.17,1
FEMININO,42,RS,CELETISTA EMPREGADO,ESTAVEL,31.54,1415.71,0
MASCULINO,53,SC,ATIVO PERMANENTE,ESTAVEL,59.88,1796.50,0
MASCULINO,41,BA,ATIVO PERMANENTE,ESTAVEL,3276.02,629.84,1
MASCULINO,41,BA,ATIVO PERMANENTE,ESTAVEL,1801.08,1789.86,1
FEMININO,45,SC,ATIVO PERMANENTE,ESTAVEL,4538.06,-7775.46,1
FEMININO,45,RJ,ATIVO PERMANENTE,ESTAVEL,3107.67,1195.48,1
FEMININO,68,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,8219.22,1067.30,1
FEMININO,68,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,8219.22,2918.50,1
MASCULINO,85,RS,APOSENTADO,ESTAVEL,2281.70,9267.93,1
FEMININO,85,CE,BENEFICIARIO PENSAO,NAO ESTAVEL,175.18,7819.62,1
FEMININO,95,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,134.00,3478.88,1
MASCULINO,37,DF,BENEFICIARIO PENSAO,NAO ESTAVEL,136.00,2269.22,0
FEMININO,67,SP,APOSENTADO,ESTAVEL,845.67,6.48,1
FEMININO,87,MG,APOSENTADO,ESTAVEL,418.99,14681.80,1
FEMININO,87,MG,APOSENTADO,ESTAVEL,3518.28,65064.42,1
MASCULINO,57,RJ,ATIVO PERMANENTE,ESTAVEL,4830.51,56.52,1
MASCULINO,42,RS,NAO INFORMADO,ESTAVEL,1444.09,169.71,1
FEMININO,38,DF,ATIVO PERMANENTE,ESTAVEL,1405.08,5252.22,0
MASCULINO,45,MG,ATIVO PERMANENTE,ESTAVEL,4799.78,1236.96,1
FEMININO,44,MA,BENEFICIARIO PENSAO,NAO ESTAVEL,171.49,710.97,0
FEMININO,36,DF,ATIVO PERMANENTE,ESTAVEL,957.56,2075.70,0
MASCULINO,38,DF,ATIVO PERMANENTE,ESTAVEL,3109.58,245.52,1
MASCULINO,81,PE,APOSENTADO,ESTAVEL,746.54,-1011.88,1
FEMININO,88,MG,APOSENTADO,ESTAVEL,4653.04,4517.73,1
FEMININO,38,GO,ATIVO PERMANENTE,ESTAVEL,3105.33,5239.08,0
FEMININO,38,GO,ATIVO PERMANENTE,ESTAVEL,1436.24,5630.52,0
FEMININO,80,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,1022.42,1289.88,1
FEMININO,80,MG,BENEFICIARIO PENSAO,NAO ESTAVEL,1022.42,1303.88,1
MASCULINO,56,RJ,ATIVO PERMANENTE,ESTAVEL,1515.59,-300.00,1
FEMININO,67,RJ,ATIVO PERMANENTE,ESTAVEL,437.91,4649.20,0
FEMININO,67,RJ,ATIVO PERMANENTE,ESTAVEL,334.32,3559.29,0
FEMININO,31,MA,ATIVO PERMANENTE,ESTAVEL,3884.62,140.74,1
FEMININO,31,MA,BENEFICIARIO PENSAO,ESTAVEL,3884.62,2546.04,1
FEMININO,90,CE,APOSENTADO,ESTAVEL,58.50,2835.12,1
MASCULINO,90,PA,APOSENTADO,ESTAVEL,105.04,8086.04,1
FEMININO,50,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,3246.90,-1233.00,1
FEMININO,66,MS,BENEFICIARIO PENSAO,NAO ESTAVEL,248.66,5672.02,0
FEMININO,37,RS,ATIVO PERMANENTE,ESTAVEL,2748.03,-36.52,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,274.18,-240.06,1
FEMININO,78,PA,APOSENTADO,ESTAVEL,383.09,4202.88,0
FEMININO,44,SC,ATIVO PERMANENTE,ESTAVEL,5893.50,6324.72,1
FEMININO,44,SC,ATIVO PERMANENTE,ESTAVEL,3164.28,4614.70,0
MASCULINO,53,RJ,ATIVO PERMANENTE,ESTAVEL,3071.49,548.00,1
FEMININO,83,BA,APOSENTADO,ESTAVEL,26.09,971.16,0
FEMININO,83,BA,APOSENTADO,ESTAVEL,26.09,1903.43,0
FEMININO,37,PI,ATIVO PERMANENTE,ESTAVEL,142.08,4967.18,0
FEMININO,82,PR,APOSENTADO,ESTAVEL,604.72,4414.65,0
FEMININO,37,MA,CELETISTA EMPREGADO,ESTAVEL,799.90,1023.98,1
FEMININO,37,MA,CELETISTA EMPREGADO,ESTAVEL,76.15,989.32,0
FEMININO,41,RS,ATIVO PERMANENTE,ESTAVEL,136.26,3725.37,0
MASCULINO,29,AM,ATIVO PERMANENTE,ESTAVEL,1536.97,-777.96,1
MASCULINO,29,AM,ATIVO PERMANENTE,ESTAVEL,2641.34,1901.68,1
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,951.51,1347.30,0
FEMININO,39,RS,CELETISTA EMPREGADO,ESTAVEL,571.90,1855.56,0
MASCULINO,41,SC,ATIVO PERMANENTE,ESTAVEL,205.30,6159.00,0
FEMININO,88,PR,APOSENTADO,ESTAVEL,273.96,16092.20,1
FEMININO,53,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1812.04,-1359.36,1
FEMININO,53,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,930.55,3332.20,0
FEMININO,55,RJ,BENEFICIARIO PENSAO,NAO ESTAVEL,1317.00,-612.32,1
MASCULINO,51,RJ,CEDIDO SUS LEI 8270,ESTAVEL,3886.34,-2684.11,1
MASCULINO,89,AM,APOSENTADO,ESTAVEL,265.91,321.36,1
MASCULINO,89,AM,APOSENTADO,ESTAVEL,1770.21,8297.90,1
MASCULINO,56,RJ,ATIVO PERMANENTE,ESTAVEL,1362.02,5333.75,0
FEMININO,92,CE,APOSENTADO,ESTAVEL,282.10,19121.92,1
FEMININO,92,CE,APOSENTADO,ESTAVEL,66.84,5276.52,1
FEMININO,69,MT,BENEFICIARIO PENSAO,NAO ESTAVEL,480.58,246.62,1
MASCULINO,82,CE,APOSENTADO,ESTAVEL,4377.36,11015.68,0
FEMININO,77,PA,BENEFICIARIO PENSAO,NAO ESTAVEL,6050.48,4949.68,1
FEMININO,77,PA,BENEFICIARIO PENSAO,NAO ESTAVEL,6050.48,9191.64,0
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,2608.93,2844.16,1
FEMININO,38,RS,CELETISTA EMPREGADO,ESTAVEL,1750.08,3046.00,0
FEMININO,84,MA,APOSENTADO,NAO ESTAVEL,4929.92,16030.30,0
FEMININO,84,MA,BENEFICIARIO PENSAO,NAO ESTAVEL,1641.06,416.04,1
FEMININO,84,MA,BENEFICIARIO PENSAO,NAO ESTAVEL,1628.00,468.28,1
MASCULINO,56,RJ,ATIVO PERMANENTE,ESTAVEL,3942.73,1249.18,1
MASCULINO,56,RJ,ATIVO PERMANENTE,ESTAVEL,7696.50,2546.28,1
MASCULINO,52,MS,CEDIDO SUS LEI 8270,ESTAVEL,7.15,1717.39,0
MASCULINO,52,MS,CEDIDO SUS LEI 8270,ESTAVEL,6.55,1717.99,0
FEMININO,36,DF,NAO INFORMADO,ESTAVEL,328.67,2597.09,0
FEMININO,90,PE,APOSENTADO,ESTAVEL,816.96,-1791.80,1
